track_id,word
TRAOIJV128F92F31F7,i the and me it is on we am all so this there up one away how need over everi walk move far each moon step moment jump tini
TRDKUSD128F426711E,i the you to and a me it not in is of that do on are we am all for no have love so know this but with what just like now time can come there go up one they get she see if got from feel want make way say take would ca away back here need look more caus right been who give tri keep wo girl wanna good about some littl noth said call leav had hold them hear believ anoth than even watch put talk other doe two door mani came ai listen ani wall game water readi lead full pull slow gun floor ladi mama parti cool which mad share damn minut alreadi radio yea choos wit bet pack pop brown club pocket dame smash pen thang 15 tryna twin digit
TRFPFSQ128F14801BC,i the you and a it of your do are we will all no know but when go from as our die think too dream over noth were end sun break care own shine till until born near dawn dust instrument noon origin
TRHUIMC128F426BA86,i the you to and a me it not in my is of your that on are am be love so this but with what time up one out make way say day away by could need world been think man an still long around good hand insid chang soul thought boy song wrong far tear myself must mayb del such guess child troubl simpl choos ago style wander sat foolish chew cd
TRIZEWU128F4267101,i the you to a it not in my is of your that do on am will all be so know this but with what just like now time can come up la one they out down get she was see if got never he want say ca day at babi life her how could night look world more caus tell through man too onli whi an still girl good about over light said everi leav home walk ever face gone much these friend than stop play show hope move gotta same talk fuck sleep mean doe mayb everybodi understand town listen goe goodby money chanc learn took game young shit drink lot sinc fast nigga train cloud window bout wave uh bitch shame write nice buy spend vers phone four check cloth ice yall bottl bend earli freak plain cours stage suit fame pill flight shop shock finish fan coupl hi ol dim bounc base role watchin model video sneak hater aboard pane thirsti
TRKZRUY12903CAFCB1,i the to and me my on am no so but now come one see from he as away back heart night man again some then light said gone has break free becaus today may until goodby took memori instrument lucki breez
TRLYNSZ128F930C251,you a of on are we will so come down yeah think around light show speed clown
TRPJOPR128F92E7AD2,i the you to a it in my is of your that on am for be love know this what now can there up one down see from feel let make way day life yeah look think who through turn then light everi into wait walk sky rock heaven arm morn wake happen warm top glori simpl famili welcom endless tv silver fantasi toy hop rocket southern pet
TRQTAMO128F92E7AB9,i the and a it in of on out down was see way as look whi over hear close high sound came saw white abov differ wave which point ocean wide bite wood fish tail cap
TRTAVWS128F930C2AB,i the you to and a in my is of your that do on am be love so know with what like up out get got from he feel want way would day away life by our caus been tell who through man give tri still his hand noth said did into leav walk ever face head their play peopl realli sky hope blue danc seem dark far tear dead other forev close mean star smile year side fli shine behind yourself today ride ask hide wind hurt told first sea under ground kind road grow sit water blind tomorrow hit meet drive bed full hang train hair tast push cloud wear wave flow wing bit build fair hole jump dig shot green sand front yesterday crawl wine machin problem sister climb confus suck float tune bite expect distanc gentl noon sold pocket celebr dove slide pound dirt fortun stole numb wipe station screen led flag fed drip defeat dive tini butterfli zero appl grind tape stray stolen hug avenu pan souvenir womb cycl jive fairi pave ladder rewind
TRTPXQA128F146E28C,i the you to and a me not my is of your that do on are am for this with just like up they down from night our look gonna through again give still around them hear hey stand than tonight sing pleas two black save bodi war under each feet laugh shadow floor bien dont key less mano c loos spring doctor ill bloodi journey saint hunger arriba peak cap chin darker uniform shave
TRVCVWY128F92F31DC,i the a it not my of your that on am when now time up see want take ca eye thing an face anoth left thought real first angel matter step whole search singl form foot lack
TRVTOKA128F9328589,a me que de la en un tu se es le du je et les ma qui pas des dan mai part pour ne à tout nos train mon ce moi comm une sur ver dont guitar grand mes sai rien fait vill encor trist sont où nuit ces amour ses aux cett sous coupl mort quell soir vent quun quel fragil ici ont port lon corp notr femm rue taim gen pourquoi rout mieux matin gris devant heur lune venir pluie prendr
TRWQUFV128F42AC493,i a se na s ladi ten v za
TRXDJJM128F421FE83,i the you to and a me it in my is of your that on are am will all for no so this but with just time come there go one they out down if from would at away heart die think dream find fall hand light everi alway leav run them end head cri insid break pleas bring someon cold door happi town lone late ground fool heard drive car shadow whisper knock travel ach compani underground flag
TRZXKEZ128F92E7ABF,i you to and me it in is your do on are we am for be know this can get if from feel want as more caus give tri whi keep good someth new than show kiss sure arm learn strong fun both whatev okay
